Passenger_ID,Flight_ID,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected
P1947,F1139,United,ORD,ORD,2023-08-14 02:56:08,165,Cancelled,1487,346.69,52,Male,Low,Leisure,Economy,1,Silver,Desk,4.0,12.0,32,0,1,Aisle
P1948,F452,United,LAX,JFK,2023-11-21 16:13:23,65,Delayed,1540,405.36,72,Male,Medium,Family,Economy,0,None,Online,7.1,9.0,19,0,1,Middle
P1949,F1904,American Airlines,DFW,JFK,2024-09-08 22:56:33,185,Cancelled,1060,430.74,60,Male,Medium,Emergency,Economy,1,Silver,Online,8.0,7.0,99,0,0,Middle
P1950,F1583,American Airlines,JFK,SFO,2024-06-06 09:17:38,218,On-time,1350,468.86,70,Female,High,Emergency,Economy,1,Silver,Online,7.2,0.0,32,0,1,Middle
P1951,F721,JetBlue,ATL,LAX,2024-02-01 16:49:57,227,On-time,906,235.3,62,Male,Medium,Business,Economy,1,Gold,Airport Kiosk,5.2,1.0,14,0,0,Middle
P1952,F319,United,SEA,SEA,2023-06-02 18:08:18,190,On-time,1220,369.31,22,Male,Medium,Leisure,Premium Economy,0,None,Mobile App,8.0,0.0,108,0,0,Middle
P1953,F936,American Airlines,DFW,SEA,2024-02-29 16:03:59,48,On-time,1076,352.56,45,Female,Medium,Family,Economy,0,None,Online,9.6,9.0,79,0,0,Aisle
P1954,F1023,United,JFK,JFK,2023-07-23 02:33:32,129,Cancelled,1187,164.14,22,Female,High,Family,Economy,0,None,Desk,8.1,3.0,73,0,0,Window
P1955,F1667,American Airlines,LAX,SFO,2024-08-31 22:55:06,144,On-time,873,353.17,43,Male,High,Business,Premium Economy,0,Silver,Airport Kiosk,6.8,1.0,69,0,0,Aisle
P1956,F1940,JetBlue,ATL,SEA,2024-08-05 12:48:29,225,On-time,1618,301.58,43,Male,Low,Business,Premium Economy,1,None,Airport Kiosk,10.0,5.0,43,0,0,Window
P1957,F854,American Airlines,JFK,SEA,2024-06-18 14:52:01,158,Cancelled,669,404.99,29,Male,High,Business,Economy,0,None,Mobile App,8.4,2.0,29,0,0,Window
P1958,F1541,Southwest,DEN,DFW,2023-06-15 03:52:47,140,On-time,1079,190.31,22,Male,Medium,Leisure,Economy,2,None,Mobile App,9.5,1.0,54,0,0,Window
P1959,F513,American Airlines,DFW,LAX,2023-05-22 03:17:50,171,On-time,1432,481.25,75,Male,High,Emergency,Economy,1,Gold,Online,9.4,3.0,42,1,0,Middle
P1960,F1278,JetBlue,SFO,DEN,2023-11-12 07:02:24,188,Delayed,1674,479.88,18,Female,Low,Leisure,Economy,1,Silver,Desk,9.9,10.0,5,0,1,Middle
P1961,F1471,United,DFW,SFO,2024-11-08 02:45:32,129,On-time,1123,390.8,64,Female,High,Emergency,Economy,0,Gold,Online,7.0,10.0,105,0,0,Aisle
P1962,F1146,Delta,LAX,DEN,2024-11-14 14:16:47,85,Delayed,1010,385.97,53,Male,High,Leisure,Premium Economy,2,Silver,Mobile App,6.8,15.0,77,0,1,Aisle
P1963,F1524,American Airlines,JFK,ORD,2023-11-30 20:26:58,179,On-time,1280,368.38,48,Female,Low,Emergency,Economy,1,Platinum,Mobile App,6.1,3.0,77,0,0,Window
P1964,F438,American Airlines,JFK,SFO,2024-09-25 09:37:46,170,On-time,1420,269.7,79,Female,Medium,Business,Business,0,Gold,Online,7.5,5.0,49,0,0,Middle
P1965,F288,Southwest,DEN,SFO,2025-02-21 18:15:42,180,Cancelled,1018,477.29,63,Male,Medium,Emergency,Economy,2,None,Desk,6.3,3.0,24,0,0,Aisle
P1966,F22,JetBlue,DFW,ATL,2024-01-02 15:05:01,316,Delayed,1198,350.73,30,Male,Medium,Business,Economy,2,Silver,Mobile App,7.8,2.0,86,0,0,Window
P1967,F1201,American Airlines,ORD,LAX,2024-11-09 04:27:17,236,On-time,914,208.37,61,Female,Medium,Leisure,Business,1,Platinum,Mobile App,7.0,8.0,14,0,0,Window
P1968,F358,Delta,ATL,DFW,2023-11-11 05:14:46,304,On-time,1111,319.04,78,Male,Low,Business,Economy,2,Platinum,Desk,5.7,10.0,90,0,0,Window
P1969,F1853,Delta,DFW,ATL,2023-07-13 04:55:16,72,On-time,1839,452.82,49,Male,Medium,Business,Economy,1,None,Online,5.6,9.0,32,0,1,Window
P1970,F287,Southwest,SFO,ATL,2023-09-15 16:41:31,272,On-time,1541,472.54,27,Female,Medium,Family,Premium Economy,0,None,Desk,5.9,7.0,62,0,1,Window
P1971,F1368,Southwest,SFO,DEN,2025-04-14 03:52:09,89,On-time,764,262.77,30,Female,Low,Emergency,Economy,0,None,Online,8.2,15.0,119,0,0,Middle
P1972,F171,Delta,ORD,DFW,2023-08-24 02:22:02,252,On-time,1269,402.8,33,Female,Low,Leisure,Economy,2,Platinum,Desk,6.4,8.0,64,0,0,Middle
P1973,F874,JetBlue,ATL,LAX,2024-11-26 07:12:40,121,On-time,559,497.32,57,Female,High,Leisure,Economy,0,None,Mobile App,7.9,12.0,67,0,0,Window
P1974,F124,United,ORD,JFK,2023-05-10 12:29:34,228,On-time,904,388.23,77,Female,Medium,Family,Premium Economy,1,Gold,Online,6.4,19.0,5,0,0,Middle
P1975,F225,Southwest,ATL,DEN,2024-11-15 08:32:57,206,On-time,1152,324.92,70,Male,Medium,Emergency,Business,1,None,Online,8.6,21.0,63,0,0,Aisle
P1976,F907,Southwest,ORD,DEN,2025-01-01 08:07:01,252,Delayed,1716,340.44,73,Male,Medium,Business,Economy,1,Platinum,Online,7.8,7.0,19,0,0,Window
P1977,F1049,United,SFO,SEA,2025-01-19 19:42:21,234,On-time,1383,365.85,59,Female,Medium,Leisure,Economy,3,None,Airport Kiosk,8.6,19.0,61,0,0,Window
P1978,F1768,American Airlines,ATL,JFK,2024-04-21 15:58:24,170,On-time,1626,395.95,39,Male,Medium,Business,Economy,1,None,Desk,6.6,9.0,1,0,0,Aisle
P1979,F745,American Airlines,SEA,JFK,2024-08-01 17:00:24,155,On-time,1499,182.62,48,Female,Medium,Business,Business,0,Gold,Desk,5.9,11.0,41,0,0,Window
P1980,F752,JetBlue,DFW,LAX,2023-07-11 04:07:40,153,On-time,1394,431.94,18,Male,Medium,Emergency,Economy,1,Silver,Airport Kiosk,6.7,11.0,90,0,0,Middle
P1981,F1671,United,DEN,SEA,2023-06-15 06:00:30,114,On-time,1060,402.35,66,Female,Medium,Family,Premium Economy,2,None,Airport Kiosk,5.4,6.0,119,0,0,Aisle
P1982,F1980,JetBlue,SFO,LAX,2023-05-06 07:29:54,233,Delayed,1054,343.9,46,Female,Medium,Emergency,Economy,0,None,Airport Kiosk,9.5,20.0,85,0,0,Middle
P1983,F1310,Delta,LAX,DFW,2023-08-03 04:25:10,131,On-time,938,433.64,65,Female,Medium,Leisure,Premium Economy,1,None,Mobile App,7.4,6.0,107,0,0,Middle
P1984,F1692,JetBlue,JFK,JFK,2024-08-05 08:14:05,211,On-time,722,497.4,69,Female,Medium,Leisure,Business,1,Platinum,Airport Kiosk,6.8,1.0,97,0,0,Window
P1985,F360,United,JFK,DFW,2025-02-16 17:07:25,152,On-time,1378,438.08,46,Female,High,Business,Premium Economy,0,None,Online,4.6,38.0,107,1,1,Window
P1986,F1230,Southwest,ATL,ORD,2023-09-02 09:48:04,228,On-time,1178,482.67,43,Male,Low,Emergency,Economy,2,Silver,Mobile App,9.0,5.0,33,0,0,Middle
P1987,F1986,JetBlue,DFW,DEN,2025-02-14 22:44:02,172,Delayed,990,439.92,27,Male,Medium,Business,Business,2,None,Desk,6.9,3.0,111,0,0,Aisle
P1988,F1409,American Airlines,JFK,DEN,2025-04-04 08:08:13,112,On-time,1152,513.6,74,Male,High,Leisure,First,2,Gold,Online,5.6,2.0,30,0,0,Middle
P1989,F31,Southwest,SEA,LAX,2024-07-01 09:19:38,191,On-time,1373,359.05,62,Female,High,Family,Business,1,None,Online,7.3,2.0,61,0,0,Aisle
P1990,F1520,Delta,ATL,DEN,2024-07-24 12:33:25,246,On-time,1472,393.98,75,Male,Low,Business,Economy,1,None,Online,8.1,7.0,95,0,0,Aisle
P1991,F682,American Airlines,JFK,JFK,2024-06-10 12:34:11,249,On-time,1200,241.54,65,Male,Low,Family,Economy,1,Platinum,Mobile App,6.6,6.0,88,0,0,Window
P1992,F1271,Delta,SEA,DFW,2024-10-31 16:48:04,199,Delayed,1488,353.23,49,Male,Low,Emergency,Premium Economy,1,None,Mobile App,7.4,9.0,113,0,1,Window
P1993,F577,Delta,SEA,SFO,2024-02-16 06:11:29,108,On-time,1049,422.59,72,Male,Medium,Emergency,Economy,2,None,Mobile App,7.3,8.0,98,0,0,Window
P1994,F594,American Airlines,LAX,JFK,2024-02-25 15:19:01,202,Delayed,635,308.95,20,Male,Medium,Leisure,Economy,1,None,Desk,8.3,3.0,20,0,0,Middle
P1995,F1669,Delta,ORD,ATL,2024-08-30 09:19:09,235,On-time,1187,338.33,34,Male,Low,Family,Economy,0,None,Desk,5.1,10.0,71,0,0,Aisle
P1996,F1701,JetBlue,SEA,ATL,2024-01-13 04:05:38,179,On-time,1402,175.89,68,Male,Medium,Family,Economy,1,None,Online,4.7,11.0,31,0,0,Middle
P1997,F32,Southwest,SEA,JFK,2023-08-02 20:57:48,167,On-time,456,249.04,29,Female,Medium,Business,Business,2,None,Airport Kiosk,3.7,6.0,16,0,0,Window
P1998,F575,American Airlines,SFO,JFK,2023-09-20 02:20:44,233,On-time,1007,314.84,23,Female,Low,Family,Economy,2,None,Airport Kiosk,10.0,3.0,80,0,0,Middle
P1999,F387,Delta,SFO,JFK,2024-12-21 19:33:07,217,On-time,1310,456.74,58,Male,Low,Family,Premium Economy,1,Gold,Airport Kiosk,6.5,2.0,92,0,0,Aisle
P2000,F1340,Delta,JFK,ORD,2024-08-14 01:44:40,261,On-time,1317,467.32,57,Female,Low,Leisure,First,4,Gold,Online,8.4,1.0,28,0,0,Middle
P2001,F1000,JetBlue,LAX,DEN,2024-08-23 20:02:21,217,On-time,828,210.69,73,Male,High,Emergency,Economy,0,Gold,Mobile App,6.2,16.0,71,0,0,Window
P2002,F718,United,LAX,JFK,2025-04-15 11:51:16,157,Delayed,1500,434.63,66,Female,High,Emergency,Premium Economy,1,None,Desk,4.6,9.0,38,0,0,Middle
P2003,F17,American Airlines,SFO,LAX,2024-01-18 03:57:28,136,On-time,1474,544.03,27,Male,Medium,Emergency,First,0,Gold,Airport Kiosk,8.5,9.0,52,0,0,Aisle
P2004,F301,United,DFW,DEN,2023-05-18 13:02:25,162,Delayed,502,433.63,24,Male,High,Family,Economy,3,Platinum,Airport Kiosk,8.5,11.0,60,0,0,Middle
P2005,F78,Southwest,SFO,DFW,2023-12-31 19:41:52,113,On-time,1532,340.19,72,Female,High,Leisure,Economy,3,None,Online,8.0,4.0,67,0,0,Middle
P2006,F345,United,ATL,ORD,2024-08-07 08:30:05,284,On-time,736,420.71,34,Male,Low,Leisure,Economy,1,Silver,Desk,8.2,5.0,87,0,0,Middle
P2007,F574,American Airlines,ORD,SEA,2025-02-28 19:39:26,149,On-time,1483,50.66,66,Female,Low,Emergency,Economy,2,None,Desk,4.9,6.0,4,0,0,Middle
P2008,F1717,Southwest,JFK,LAX,2024-10-08 03:52:56,209,On-time,1385,455.73,39,Female,Medium,Family,Economy,0,None,Online,8.8,8.0,65,0,0,Aisle
P2009,F1204,American Airlines,ATL,DFW,2023-11-19 05:43:27,132,Cancelled,987,286.05,36,Female,Medium,Leisure,Premium Economy,0,Silver,Mobile App,8.3,0.0,82,0,0,Window
P2010,F1871,Southwest,ORD,DFW,2023-09-03 19:12:37,208,On-time,1041,285.68,43,Female,Medium,Family,Premium Economy,0,Silver,Airport Kiosk,6.5,0.0,115,0,0,Middle
P2011,F1099,American Airlines,LAX,LAX,2024-12-19 18:22:26,187,On-time,1154,246.23,34,Female,High,Business,Business,0,Silver,Airport Kiosk,6.6,12.0,60,0,1,Middle
P2012,F645,American Airlines,ATL,ORD,2024-03-13 09:14:32,197,Delayed,1634,388.06,34,Female,Low,Leisure,Business,0,None,Airport Kiosk,8.3,11.0,47,0,0,Middle
P2013,F1640,Delta,ATL,ATL,2024-02-03 19:26:44,166,Delayed,1215,256.14,33,Female,Medium,Leisure,Economy,4,None,Online,9.5,38.0,46,0,0,Middle
P2014,F1717,American Airlines,SFO,SEA,2024-06-10 02:09:42,93,On-time,1227,304.33,67,Male,Low,Business,Premium Economy,0,Silver,Online,6.1,0.0,9,0,0,Middle
P2015,F1985,American Airlines,ATL,DEN,2024-10-17 23:37:23,166,Delayed,1173,475.69,29,Female,Medium,Emergency,Economy,0,Gold,Online,4.1,3.0,76,0,0,Aisle
P2016,F1687,American Airlines,SEA,ORD,2025-04-12 21:45:24,258,Cancelled,1144,442.15,43,Female,Low,Leisure,Premium Economy,0,Gold,Mobile App,7.7,10.0,108,1,0,Middle
P2017,F552,Delta,ORD,SFO,2025-01-28 22:21:13,242,On-time,913,651.88,77,Male,Low,Business,First,3,None,Mobile App,8.1,29.0,48,0,0,Aisle
P2018,F1869,American Airlines,ATL,LAX,2023-07-06 14:01:32,134,On-time,1391,452.42,62,Male,Medium,Business,First,1,None,Airport Kiosk,9.7,10.0,111,0,0,Window
P2019,F1558,Delta,ATL,ORD,2024-07-27 06:27:13,179,On-time,1468,-40.62,75,Male,High,Business,Economy,1,Silver,Airport Kiosk,5.8,5.0,7,0,0,Aisle
P2020,F1468,American Airlines,DFW,LAX,2023-11-16 12:38:54,183,On-time,1074,402.9,57,Female,Medium,Family,Economy,0,Gold,Desk,8.9,22.0,91,0,0,Middle
P2021,F924,United,JFK,DEN,2025-03-31 15:46:05,270,On-time,1606,396.49,39,Male,Medium,Leisure,Premium Economy,1,Silver,Desk,6.7,5.0,100,0,0,Middle
P2022,F692,JetBlue,DFW,ATL,2023-11-09 13:57:22,71,On-time,1043,364.25,74,Female,Medium,Emergency,First,2,Silver,Online,5.0,4.0,105,0,0,Middle
P2023,F1712,Delta,SFO,DFW,2024-01-19 20:55:33,232,On-time,1396,234.24,66,Male,Medium,Family,Economy,1,None,Airport Kiosk,6.3,4.0,90,0,0,Middle
P2024,F1519,Southwest,ATL,ORD,2023-05-14 11:05:37,206,On-time,1324,368.44,56,Male,Medium,Business,Economy,1,None,Online,2.3,17.0,57,0,0,Middle
P2025,F994,Delta,SEA,SEA,2025-01-07 14:14:46,252,On-time,991,324.21,40,Male,High,Emergency,Economy,1,Silver,Desk,6.2,10.0,61,0,0,Middle
P2026,F1184,United,ATL,ORD,2023-11-04 04:24:51,204,On-time,1175,157.85,50,Male,Medium,Business,Economy,0,None,Online,7.3,2.0,18,0,0,Aisle
P2027,F1356,Delta,LAX,SEA,2024-02-19 06:34:19,247,On-time,1484,432.88,18,Female,Medium,Emergency,Economy,0,Gold,Online,5.6,7.0,72,0,1,Aisle
P2028,F1606,American Airlines,LAX,LAX,2024-06-25 07:30:06,151,On-time,576,182.21,61,Male,Medium,Emergency,Economy,1,Platinum,Mobile App,5.3,1.0,85,0,0,Middle
P2029,F1864,American Airlines,SEA,ORD,2024-10-07 04:15:17,183,On-time,681,369.12,50,Male,Medium,Leisure,Economy,1,Gold,Desk,5.9,7.0,90,0,0,Aisle
P2030,F1589,United,LAX,ATL,2023-06-04 22:31:09,205,On-time,735,500.59,76,Female,High,Family,Premium Economy,1,Gold,Online,8.1,8.0,43,0,0,Window
P2031,F532,JetBlue,SFO,DEN,2023-11-17 21:51:10,225,On-time,1260,299.05,74,Male,High,Emergency,Premium Economy,0,Gold,Airport Kiosk,6.1,6.0,17,0,0,Window
P2032,F1011,American Airlines,JFK,SEA,2024-11-18 15:49:53,172,On-time,722,429.54,73,Female,High,Family,Economy,1,None,Online,6.8,14.0,100,0,0,Window
P2033,F1067,Southwest,SEA,SFO,2024-05-31 08:17:22,119,On-time,1359,458.45,77,Male,Medium,Family,Economy,0,None,Mobile App,7.8,0.0,13,0,0,Middle
P2034,F888,American Airlines,LAX,ORD,2024-11-04 20:22:17,189,On-time,1361,275.29,79,Male,Medium,Emergency,Economy,0,Gold,Airport Kiosk,8.9,6.0,113,0,1,Middle
P2035,F713,Southwest,ORD,ATL,2023-08-21 07:13:58,281,On-time,1204,589.8,75,Female,Low,Family,Economy,2,Silver,Desk,7.7,4.0,106,0,1,Aisle
P2036,F59,United,ORD,ATL,2023-09-18 22:58:04,219,On-time,1263,371.1,46,Male,Low,Business,Economy,1,None,Desk,4.5,6.0,39,1,0,Window
P2037,F186,Delta,DEN,SEA,2024-04-18 22:01:17,250,Cancelled,1021,297.8,24,Male,Low,Family,Business,1,None,Airport Kiosk,10.0,2.0,17,0,0,Aisle
P2038,F1865,Delta,SEA,DFW,2024-04-14 13:21:59,283,On-time,1626,286.85,45,Male,High,Family,Economy,0,None,Airport Kiosk,8.9,10.0,37,0,0,Aisle
P2039,F22,Southwest,DFW,SFO,2023-10-10 03:44:53,95,On-time,1539,384.99,76,Female,Medium,Emergency,Business,1,None,Mobile App,7.1,5.0,78,0,0,Middle
P2040,F538,JetBlue,SEA,DEN,2023-10-24 15:02:39,87,On-time,1742,133.12,31,Female,Low,Business,Premium Economy,1,None,Mobile App,5.9,7.0,36,0,1,Middle
P2041,F1131,United,JFK,LAX,2023-08-30 04:00:31,184,Cancelled,1168,397.36,49,Male,High,Business,Premium Economy,1,None,Online,7.4,11.0,31,0,0,Window
P2042,F1499,Delta,JFK,DFW,2023-04-30 21:16:12,274,On-time,942,374.9,18,Female,Low,Business,Economy,0,None,Desk,5.2,7.0,7,0,0,Aisle
P2043,F1867,United,DFW,ORD,2023-07-20 08:47:34,166,On-time,1180,495.97,76,Male,Low,Business,Economy,0,None,Desk,5.1,3.0,55,0,0,Middle
P2044,F1285,American Airlines,JFK,DFW,2024-05-11 08:48:31,197,Delayed,1016,321.02,56,Male,Low,Family,Premium Economy,0,None,Online,6.7,22.0,63,0,0,Window
P2045,F368,Delta,ATL,DFW,2023-10-09 03:06:59,266,On-time,680,195.4,27,Female,Medium,Emergency,Economy,2,Silver,Mobile App,5.2,22.0,97,0,0,Aisle
P2046,F220,JetBlue,ORD,ORD,2023-05-14 09:20:25,246,On-time,1243,388.93,49,Female,Medium,Family,Economy,0,None,Online,9.0,5.0,32,0,0,Middle
P2047,F1503,American Airlines,DEN,SFO,2023-05-31 03:23:21,175,On-time,1361,406.13,79,Male,Low,Family,Economy,2,None,Airport Kiosk,5.9,3.0,89,0,0,Window
P2048,F1925,Southwest,SEA,ATL,2024-11-01 09:01:30,154,On-time,1047,478.87,63,Male,Medium,Emergency,Economy,3,Gold,Mobile App,8.9,4.0,114,0,0,Middle
P2049,F1859,United,LAX,SEA,2025-04-18 07:53:06,177,On-time,1031,433.65,50,Female,Low,Business,Economy,0,Gold,Mobile App,8.3,16.0,81,0,1,Window
P2050,F607,Southwest,SFO,SFO,2025-02-01 12:53:18,322,On-time,874,271.69,41,Female,Medium,Family,Premium Economy,2,Silver,Online,5.3,15.0,76,0,0,Window
P2051,F1533,JetBlue,DEN,ORD,2024-03-07 06:39:39,258,On-time,1004,155.33,77,Female,High,Leisure,Economy,1,Gold,Desk,5.3,2.0,48,0,0,Window
P2052,F1170,JetBlue,ATL,LAX,2024-03-01 23:43:48,254,On-time,1423,286.24,79,Female,High,Leisure,Premium Economy,1,None,Online,10.0,14.0,18,0,0,Aisle
P2053,F607,Southwest,SEA,LAX,2024-12-31 08:01:04,151,On-time,972,417.98,38,Male,Medium,Business,Economy,2,None,Online,4.6,10.0,36,0,0,Window
P2054,F599,American Airlines,SFO,ATL,2025-01-12 00:39:56,130,On-time,797,347.51,73,Female,Medium,Leisure,Economy,0,None,Mobile App,6.0,2.0,111,0,0,Aisle
P2055,F1096,United,JFK,DFW,2023-12-04 11:39:32,179,On-time,1330,196.03,34,Male,Medium,Emergency,Economy,1,Gold,Mobile App,7.5,7.0,95,0,0,Middle
P2056,F635,Delta,ATL,SEA,2023-06-29 19:55:42,220,Delayed,946,278.02,30,Male,High,Leisure,Premium Economy,1,None,Online,6.4,11.0,83,0,1,Middle
P2057,F1037,Southwest,LAX,ATL,2024-08-09 08:04:47,148,Delayed,1252,408.92,41,Female,Medium,Emergency,First,0,None,Desk,7.0,7.0,17,0,0,Window
P2058,F1025,United,DEN,DEN,2024-04-18 12:59:54,186,On-time,871,381.11,43,Female,High,Emergency,Economy,4,Platinum,Airport Kiosk,7.0,1.0,20,0,0,Aisle
P2059,F1914,United,DFW,LAX,2024-04-09 08:06:15,155,On-time,1210,341.62,51,Male,Medium,Leisure,Premium Economy,2,Platinum,Online,6.3,2.0,85,0,1,Middle
P2060,F603,American Airlines,SEA,ORD,2024-07-01 21:19:28,153,On-time,1428,391.55,50,Male,Low,Family,Business,0,None,Online,5.5,31.0,55,0,1,Aisle
P2061,F1590,JetBlue,JFK,LAX,2023-07-06 15:46:37,182,On-time,1771,434.16,73,Male,Low,Leisure,Premium Economy,0,None,Desk,10.0,2.0,7,0,0,Middle
P2062,F1259,American Airlines,DEN,LAX,2023-10-23 19:24:23,103,On-time,933,295.59,61,Male,High,Business,Premium Economy,0,Gold,Online,6.8,6.0,70,0,0,Window
P2063,F900,JetBlue,DEN,DFW,2025-04-21 03:34:16,273,Delayed,771,437.82,44,Female,Medium,Leisure,Economy,2,Gold,Mobile App,5.9,20.0,75,0,0,Aisle
P2064,F1717,United,JFK,LAX,2023-05-15 09:26:01,171,On-time,748,386.72,71,Female,Medium,Leisure,Economy,1,None,Desk,7.8,3.0,6,1,1,Window
P2065,F1803,JetBlue,JFK,JFK,2024-06-29 13:56:18,123,On-time,543,347.89,68,Female,Medium,Emergency,Economy,1,None,Airport Kiosk,8.7,10.0,32,0,0,Window
P2066,F1488,United,SFO,ATL,2023-05-30 07:39:27,134,On-time,1033,402.9,79,Male,Medium,Family,Business,2,Silver,Mobile App,7.4,26.0,21,0,0,Aisle
P2067,F1246,Southwest,SFO,JFK,2024-11-08 03:21:28,198,On-time,1316,297.47,27,Male,High,Leisure,Economy,2,None,Desk,6.9,10.0,53,0,0,Window
P2068,F1930,JetBlue,DEN,ORD,2025-02-04 06:34:34,233,On-time,1497,471.73,33,Male,Medium,Family,Economy,3,Platinum,Mobile App,8.4,8.0,59,0,0,Aisle
P2069,F907,Southwest,JFK,DEN,2025-03-08 03:11:22,212,On-time,1096,518.67,65,Male,High,Emergency,Premium Economy,0,None,Online,7.2,4.0,54,0,0,Aisle
P2070,F73,American Airlines,SFO,JFK,2023-11-28 06:17:35,187,On-time,1631,356.41,23,Male,Low,Emergency,Business,0,None,Airport Kiosk,6.6,5.0,15,0,1,Window
P2071,F701,Southwest,JFK,SFO,2023-08-05 19:30:47,176,On-time,978,216.19,77,Female,Medium,Leisure,Premium Economy,1,Gold,Desk,7.9,10.0,2,0,0,Aisle
P2072,F1360,JetBlue,ORD,ORD,2023-04-25 14:53:27,140,On-time,618,452.19,54,Male,Low,Business,Premium Economy,2,Silver,Online,6.5,2.0,29,0,0,Window
P2073,F1000,American Airlines,LAX,SEA,2024-04-19 05:20:59,224,On-time,1146,196.94,23,Female,Low,Leisure,Economy,0,Gold,Online,6.8,7.0,64,0,0,Middle
P2074,F1754,JetBlue,SFO,DEN,2024-07-04 11:44:43,160,On-time,935,335.62,46,Male,Low,Family,Economy,2,Gold,Airport Kiosk,4.6,25.0,58,0,0,Middle
P2075,F1242,Delta,SEA,DEN,2024-02-17 11:23:13,229,Cancelled,1201,502.28,53,Female,Medium,Leisure,Economy,2,Gold,Mobile App,10.0,24.0,59,0,0,Middle
P2076,F1819,Southwest,ATL,DEN,2025-04-03 20:29:08,181,On-time,988,329.74,31,Female,Medium,Family,Premium Economy,0,Silver,Airport Kiosk,5.4,18.0,8,0,0,Aisle
P2077,F719,JetBlue,SFO,JFK,2024-08-17 01:26:20,70,Delayed,683,472.3,75,Male,Medium,Family,Premium Economy,1,Platinum,Online,7.7,10.0,51,1,0,Window
P2078,F1790,American Airlines,JFK,ATL,2023-09-03 16:21:46,241,On-time,1227,458.65,60,Male,Medium,Business,Economy,3,Gold,Desk,6.9,5.0,42,0,0,Middle
P2079,F767,United,SFO,DFW,2023-10-30 09:19:16,170,On-time,1550,438.27,67,Female,Medium,Leisure,Economy,1,None,Online,6.5,11.0,73,0,1,Window
P2080,F1265,United,DFW,DEN,2023-10-02 09:35:08,266,On-time,1162,359.03,50,Female,Medium,Business,Premium Economy,0,Platinum,Desk,8.4,29.0,6,0,1,Aisle
P2081,F1333,American Airlines,ATL,ATL,2025-02-22 18:17:33,132,On-time,1230,259.26,78,Female,Medium,Emergency,First,1,None,Desk,6.7,2.0,76,0,0,Window
P2082,F720,American Airlines,ORD,DEN,2023-11-16 18:00:35,133,On-time,1065,283.14,71,Female,Medium,Leisure,Premium Economy,0,Gold,Desk,6.2,3.0,119,0,0,Window
P2083,F720,Southwest,JFK,SEA,2024-08-20 02:15:59,176,Cancelled,1256,257.36,62,Male,Medium,Leisure,Economy,0,None,Online,5.6,10.0,21,0,0,Middle
P2084,F1103,JetBlue,DEN,SEA,2024-05-31 03:42:00,143,On-time,1114,343.91,48,Female,Medium,Leisure,Business,0,None,Desk,7.4,4.0,35,0,1,Middle
P2085,F1535,American Airlines,DEN,DFW,2024-05-09 12:49:51,202,On-time,1135,217.16,67,Male,High,Leisure,Economy,1,Silver,Airport Kiosk,7.7,0.0,55,0,0,Aisle
P2086,F1660,Southwest,ORD,ORD,2024-03-05 06:03:35,191,On-time,1030,318.95,70,Male,High,Family,Economy,0,None,Desk,7.9,8.0,80,0,0,Aisle
P2087,F1396,Southwest,DFW,LAX,2025-02-21 22:28:34,156,On-time,1021,285.79,44,Male,Medium,Family,Business,0,None,Online,6.0,2.0,9,0,1,Window
P2088,F1386,Southwest,DEN,ORD,2023-06-16 12:30:16,265,On-time,1512,465.84,50,Female,Medium,Business,Premium Economy,2,Platinum,Online,10.0,8.0,37,0,1,Middle
P2089,F1570,JetBlue,JFK,ATL,2023-09-23 05:57:21,223,On-time,1493,194.25,35,Female,Medium,Business,Economy,0,Silver,Airport Kiosk,6.9,0.0,91,0,0,Window
P2090,F251,JetBlue,ATL,SFO,2024-12-07 18:37:04,272,Cancelled,1162,258.34,22,Male,High,Leisure,Business,0,Gold,Desk,5.5,0.0,31,0,0,Window
P2091,F675,JetBlue,LAX,DFW,2024-07-09 20:35:26,227,Delayed,938,215.58,50,Female,Medium,Family,Economy,1,None,Mobile App,6.6,4.0,0,0,1,Window
P2092,F132,JetBlue,SFO,LAX,2023-07-20 09:36:16,46,On-time,1054,528.69,62,Female,Medium,Business,Economy,0,None,Desk,3.8,8.0,19,0,0,Window
P2093,F1197,United,DEN,DFW,2024-07-08 17:22:23,117,On-time,1237,405.67,31,Male,Low,Emergency,Premium Economy,2,None,Online,7.7,7.0,47,0,0,Aisle
P2094,F402,JetBlue,ATL,SFO,2023-10-04 18:36:35,201,On-time,1441,404.86,72,Female,Medium,Emergency,Economy,0,Silver,Airport Kiosk,7.8,34.0,35,0,1,Aisle
P2095,F1094,United,DFW,DEN,2024-11-16 00:15:20,218,On-time,1236,109.89,73,Male,Medium,Family,Economy,0,None,Online,6.0,2.0,90,0,0,Aisle
P2096,F1413,Southwest,ATL,DFW,2023-08-03 02:29:57,286,On-time,1528,275.14,26,Male,Low,Family,Economy,1,Gold,Online,5.4,13.0,48,0,0,Aisle
